id,player_id,name,country,role,is_overseas,set_number,base_price_cr,telegram_file_id,telegram_photo_path
302,PLY0302,Lizaad Williams,South Africa,Right-Arm Fast Bowler,t,11,0.50,AgACAgUAAyEGAAT_2KgcAAIDImqT0_c9eBVsSGsVSD5MNuDtblc6AAKRE2sbW7GYVBKoQdRijQSoAQADAgADeAADPQQ,data/photos/PLY0302.jpg
303,PLY0303,Mohammad Wasim Jr,Pakistan,Right-Arm Fast Bowler,t,11,0.25,AgACAgUAAyEGAAT_2KgcAAIDI2qT0_hh0tBqUEgfWxpaqMzuRz1KAAKSE2sbW7GYVN6SfAjoUBBzAQADAgADeAADPQQ,data/photos/PLY0303.jpg
306,PLY0306,Toby Roland-Jones,England,Fast Bowler,f,11,0.25,AgACAgUAAyEGAAT_2KgcAAIDJmqT0_2dUZnHprOSVQABmO36s8rgagAClRNrG1uxmFSRoQPXzDzf4gEAAwIAA3gAAz0E,data/photos/PLY0306.jpg
281,PLY0281,Caleb Jewell,Australia,Right-Hand Batter,t,11,0.50,AgACAgUAAyEGAAT_2KgcAAICq2qT0OTwSk56U9UAARzdfkQbDt0_cAACcRNrG1uxmFTjtnm7uSV9DwEAAwIAA3gAAz0E,data/photos/PLY0281.jpg
9,PLY0009,Trent Boult,New Zealand,Left-Arm Fast Bowler,t,1,3.00,AgACAgUAAyEGAAT_2KgcAAICT2qTzzATrjjUwL5tfs3SVUKtZQvwAAIYE2sbW7GYVN1wSJb6enVoAQADAgADeAADPQQ,data/photos/PLY0009.jpg
10,PLY0010,Kagiso Rabada,South Africa,Right-Arm Fast Bowler,t,1,3.00,AgACAgUAAyEGAAT_2KgcAAICUGqTzzHsLhjrVa9u9QQ3C4sFAoIeAAIZE2sbW7GYVCK7Ul1JPNT1AQADAgADdwADPQQ,data/photos/PLY0010.jpg
11,PLY0011,Jake Fraser-McGurk,Australia,Right-Hand Opening Batter,t,2,3.00,AgACAgUAAyEGAAT_2KgcAAICUWqTzzWRZ8b8dO6S3-cN5eQlu76uAAIaE2sbW7GYVEc6rzfD45DsAQADAgADeAADPQQ,data/photos/PLY0011.jpg
12,PLY0012,Steve Smith,Australia,Right-Hand Batter,t,2,3.00,AgACAgUAAyEGAAT_2KgcAAICUmqTzzbB7QlY81g8ItqyBjvwgNjnAAIbE2sbW7GYVJ9ZxZhm_dPCAQADAgADeQADPQQ,data/photos/PLY0012.jpg
13,PLY0013,Matthew Short,Australia,Right-Hand Batter,t,2,3.00,AgACAgUAAyEGAAT_2KgcAAICU2qTzzdGg86hGI8IM1laUGfiCT5BAAIcE2sbW7GYVH2QbAMGdiluAQADAgADeAADPQQ,data/photos/PLY0013.jpg
333,PLY0333,Henry Brookes,England,Fast Bowler,f,12,0.25,AgACAgUAAyEGAAT_2KgcAAP6apGSSNI5I4OxluM0zOoeS8TZ5vUAAtAQaxsq-pBUqfg6xLTBO88BAAMCAAN5AAM9BA,data/photos/PLY0333.jpg
334,PLY0334,Mitchell Stanley,England,Fast Bowler,f,12,0.25,AgACAgUAAyEGAAT_2KgcAAP7apGSSXPid5N7aS5TZR1FXIxGe1sAAtEQaxsq-pBUyDQku6YZuJEBAAMCAAN4AAM9BA,data/photos/PLY0334.jpg
340,PLY0340,George Drissell,England,Spin Bowler,f,12,0.25,AgACAgUAAyEGAAT_2KgcAAIBxmqRnxMan9-rElyVsPt4mf3KNtzyAAKiEGsb7oqRVFLKYsKmCfpZAQADAgADeQADPQQ,data/photos/PLY0340.jpg
342,PLY0342,Luke Wells,England,Batter,f,13,0.50,AgACAgUAAyEGAAT_2KgcAAIByGqRnxX6MnXXerujuGgxPNkKrk26AAKkEGsb7oqRVI_Ff6g_4vuHAQADAgADeQADPQQ,data/photos/PLY0342.jpg
343,PLY0343,Sam Robson,England,Batter,f,13,0.50,AgACAgUAAyEGAAT_2KgcAAIByWqRnxZhxPFXLDgeOluDLve3x2JzAAKlEGsb7oqRVGkfu2bTUGj1AQADAgADdwADPQQ,data/photos/PLY0343.jpg
345,PLY0345,Adam Lyth,England,Batter,f,13,0.25,AgACAgUAAyEGAAT_2KgcAAIBy2qRnxhVpghOg92y3winrXvEDSW_AAKpEGsb7oqRVKNmzYASV5u6AQADAgADeAADPQQ,data/photos/PLY0345.jpg
347,PLY0347,Tom Westley,England,Batter,f,13,0.25,AgACAgUAAyEGAAT_2KgcAAIBzWqRnx1-Fk-eCMGUxZiT2jH3i4IkAAKrEGsb7oqRVBI1XoYt6_SDAQADAgADeAADPQQ,data/photos/PLY0347.jpg
1,PLY0001,Travis Head,Australia,Left-Hand Opening Batter,t,1,4.00,AgACAgUAAyEGAAT_2KgcAAICR2qTzyjN2oIN53y-iA_GOC2EvLVvAAIQE2sbW7GYVPO-PRTVab3KAQADAgADeAADPQQ,data/photos/PLY0001.jpg
2,PLY0002,David Warner,Australia,Left-Hand Opening Batter,t,1,4.00,AgACAgUAAyEGAAT_2KgcAAICSGqTzyrCDF-hBW9mKnASdBpdaIbBAAIRE2sbW7GYVLEKiZ-TJvJ7AQADAgADdwADPQQ,data/photos/PLY0002.jpg
3,PLY0003,Kane Williamson,New Zealand,Right-Hand Batter,t,1,3.75,AgACAgUAAyEGAAT_2KgcAAICSWqTzytmGPda0K4hUWSvMH4vLXLOAAISE2sbW7GYVFEFwe5UDsBlAQADAgADdwADPQQ,data/photos/PLY0003.jpg
4,PLY0004,Jason Roy,England,Batter,f,1,3.75,AgACAgUAAyEGAAT_2KgcAAICSmqTzyz5ZpoS84ggnW7BLR0Hkby3AAITE2sbW7GYVJxDC4OU21sqAQADAgADdwADPQQ,data/photos/PLY0004.jpg
5,PLY0005,Quinton de Kock,South Africa,Left-Hand Batter/Wicketkeeper,t,1,3.50,AgACAgUAAyEGAAT_2KgcAAICS2qTzy0VJ4OQUkqSuDkl2CL3zF_TAAIUE2sbW7GYVDJyJf66TvLOAQADAgADeAADPQQ,data/photos/PLY0005.jpg
352,PLY0352,Gareth Berg,England,Bowling All-Rounder (Pace),f,13,0.25,AgACAgUAAyEGAAT_2KgcAAIDL2qT1CvD6t5Sq2Q1xhBG-N-JD0_cAAKeE2sbW7GYVDCFv0A1P3d5AQADAgADeQADPQQ,data/photos/PLY0352.jpg
353,PLY0353,James Fuller,England,Bowling All-Rounder (Pace),f,13,0.25,AgACAgUAAyEGAAT_2KgcAAIDMGqT1CzumNH-xk1q69gS70yJZesMAAKfE2sbW7GYVA1B520UICuaAQADAgADdwADPQQ,data/photos/PLY0353.jpg
355,PLY0355,Joey Evison,England,Bowling All-Rounder (Pace),f,13,0.25,AgACAgUAAyEGAAT_2KgcAAIDMmqT1C5iAkNHQWfBGjAp4tWtJlAUAAKiE2sbW7GYVJeKh3rjc2XFAQADAgADeQADPQQ,data/photos/PLY0355.jpg
336,PLY0336,Tom Smith,England,Spin Bowler,f,12,0.25,AgACAgUAAyEGAAT_2KgcAAP9apGSS0aYYm84G565X2d5NJySjm0AAtMQaxsq-pBU9IVaTRKAK9wBAAMCAAN5AAM9BA,data/photos/PLY0336.jpg
337,PLY0337,Brett D'Oliveira,England,Spin Bowler,f,12,0.25,AgACAgUAAyEGAAT_2KgcAAP-apGST6Df2S96jifT6e60N598wPwAAtQQaxsq-pBUfKjgSKit7CABAAMCAAN5AAM9BA,data/photos/PLY0337.jpg
339,PLY0339,Jack Leaning,England,Spin Bowler,f,12,0.25,AgACAgUAAyEGAAT_2KgcAAIBAAFqkZJRa55-0f2BN2DiPc63j47bEQAC1hBrGyr6kFSv7ddsIr4WwwEAAwIAA3kAAz0E,data/photos/PLY0339.jpg
349,PLY0349,Billy Root,England,Batter,f,13,0.25,AgACAgUAAyEGAAT_2KgcAAIBdWqRnh3QZ84-rJ7SRaB3O9ZzMRbZAAJTEGsb7oqRVAABLCq1DnfoTAEAAwIAA3gAAz0E,data/photos/PLY0349.jpg
350,PLY0350,Jake Libby,England,Batter,f,13,0.25,AgACAgUAAyEGAAT_2KgcAAIBdmqRnh4ppcLfIgm-z2B4zFQR2w08AAJUEGsb7oqRVEVObho4xznvAQADAgADeQADPQQ,data/photos/PLY0350.jpg
357,PLY0357,Matthew Revis,England,Bowling All-Rounder (Pace),f,13,0.25,AgACAgUAAyEGAAT_2KgcAAIDNWqT1HBAobkK-VFI_Iy0o-u4s3B8AAKlE2sbW7GYVITNMkEOT27dAQADAgADeQADPQQ,data/photos/PLY0357.jpg
358,PLY0358,Kasey Aldridge,England,Bowling All-Rounder (Pace),f,13,0.25,AgACAgUAAyEGAAT_2KgcAAIDNmqT1HFSQX-RJt8YlXHwmZ-Efld1AAKmE2sbW7GYVGbJtO96__qKAQADAgADeQADPQQ,data/photos/PLY0358.jpg
360,PLY0360,Sam Northeast,England,Bowling All-Rounder (Spin),f,13,0.25,AgACAgUAAyEGAAT_2KgcAAIDOGqT1HMsYLU0YKcS8dJl0LorUIdFAAKoE2sbW7GYVG5r-VYRQPLSAQADAgADeQADPQQ,data/photos/PLY0360.jpg
361,PLY0361,George Thompson,England,Fast Bowler,f,13,0.25,AgACAgUAAyEGAAT_2KgcAAIDOWqT1HXfONYVRE7YMIUHOgjUvHSvAAKpE2sbW7GYVAWc7fB8TPsrAQADAgADeAADPQQ,data/photos/PLY0361.jpg
363,PLY0363,Ben Sanderson,England,Fast Bowler,f,13,0.25,AgACAgUAAyEGAAT_2KgcAAIDO2qT1HYGzasm-uPgXc0CXDbpy2qnAAKrE2sbW7GYVJuVYV9SpaSfAQADAgADeQADPQQ,data/photos/PLY0363.jpg
364,PLY0364,Harry Podmore,England,Fast Bowler,f,13,0.25,AgACAgUAAyEGAAT_2KgcAAICfmqT0Cg5naVLuc4gnRYZ-RiU21baAAJFE2sbW7GYVFBuP1-8PedjAQADAgADeAADPQQ,data/photos/PLY0364.jpg
